"Category","Attribute","CurrentValue","PossibleValues","Description","Path"
"PowerManagement","PeakShiftDayConfiguration","Dell.Smbios.PowerShell.Providers.PeakShiftDayConfig[]","","Configures the days settings based on StartTime, EndTime, and ChargeStartTime. Using Peak Shift configuration, you can minimize the consumption of AC power during the peak power usage period of the day. You can set a start and end times for the Peak Shift period. During this period, the system runs on battery if the battery charge is above the set battery threshold value. After the Peak Shift period, the system runs on AC power without charging the battery. The system functions normally using AC power and recharging the battery after the specified ChargeStartTime.","DellSmbios:\PowerManagement\PeakShiftDayConfiguration"
"PowerManagement","AdvBatteryChargeCfg","Disabled","Disabled; Enabled","Enables or disables the Advanced Battery Charge Configuration. During working hours, with Advanced Battery Charge Configuration, the batteries can be charged faster using ExpressCharge.","DellSmbios:\PowerManagement\AdvBatteryChargeCfg"
"PowerManagement","AdvancedBatteryChargeConfiguration","Dell.Smbios.PowerShell.Providers.AdvBatteryDayConfig[]","","Configures the days settings based on Beginningofday and Workperiod. Advanced Battery charge mode uses standard charging algorithm and other methods during working hours to maximize battery health. During working hours, express charge is used to charge the batteries faster. You can configure the days and the time period during which the battery has to be charged. To enable advanced battery charging, provide the day, start time, and the workperiod.","DellSmbios:\PowerManagement\AdvancedBatteryChargeConfiguration"
"PowerManagement","WakeOnAc","Disabled","Disabled; Enabled","Controls the system's behavior when AC power is restored after AC power was lost. Disabled - System stays off after AC power is restored. Enabled - System powers on after AC power is restored.","DellSmbios:\PowerManagement\WakeOnAc"
"PowerManagement","WlanAutoSense","Enabled","Disabled; Enabled","Enabled - Disables the WLAN radio when the system is connected to wire network. When disconnected from the wired network, WLAN radio will be re-enabled.","DellSmbios:\PowerManagement\WlanAutoSense"
"PowerManagement","WakeOnLan","Disabled","Disabled; LanOnly; LanWithPxeBoot","Enables the system to turn on from the off state when triggered by a special LAN signal, or from the hibernate state when triggered by a special wireless LAN signal. Disabled - Does not allow the system to power on by special LAN signals when it receives a wakeup signal from the LAN or wireless LAN. LanOnly - Allows the system to be powered on by special LAN signals. WlanOnly - Allows the system to be powered on by special WLAN signals. LanWlan - Allows the system to be powered on by special LAN or wireless LAN signals. LanWithPxeBoot - Allows the system to be powered on by special LAN signals and immediately boot to PXE. AddInCard - Allows the system to be powered on by NICs, plugged into the special power connector. Onboard - Allows the system to be powered on by Onboard NIC. SfpNic - Allows the system to wake-up by special SFP signals. LanOrSfpNic - Allows the system to wake-up either by LAN, or by SFP signals. SfpNicWithPxeBoot - Allows the system to wake-up by SFP signals, and immediately boot to PXE.
","DellSmbios:\PowerManagement\WakeOnLan"
"PowerManagement","BlockSleep","Disabled","Disabled; Enabled","Blocks the system entering to sleep (S3 state) mode in OS environment. When enabled, the system will not go to sleep mode, Intel Rapid Start will be disabled automatically and OS Power option will be blank if it was set to Sleep earlier.","DellSmbios:\PowerManagement\BlockSleep"
"PowerManagement","PrimaryBattChargeCfg","PrimAcUse","Adaptive; Standard; Express; PrimAcUse; Custom","Configures the primary battery charge mode. The selected charging mode applies to all batteries installed in the system. Auto - Battery settings are adaptively optimized based on your typical battery usage pattern. Standard - Charges the battery at a standard rate. Express - Charges the battery faster using the express charging algorithm, Dell's fast charging technology. PrimAcUse - Charges the battery while plugged-in, preferred for the users who operate their system while plugged in to an external power source. Custom - The battery charging starts and stops based on user settings specified in Primary Battery Custom Charge Start and Primary Battery Custom Charge End.","DellSmbios:\PowerManagement\PrimaryBattChargeCfg"
"PowerManagement","CustomChargeStart","50","50-95","Sets the percentage value ranging from 50 to 95 at which the custom battery charging should start. NOTE: Primary Battery Custom Charge Start percentage must be less than Primary Battery Custom Charge End percentage and the minimum difference between the two must be 5 percentage.","DellSmbios:\PowerManagement\CustomChargeStart"
"PowerManagement","CustomChargeStop","90","55-100","Sets the percentage value ranging from 55 to 100 at which the custom battery charging should stop. NOTE: Primary Battery Custom Charge Start percentage must be less than Primary Battery Custom Charge End percentage and the minimum difference between the two must be 5 percentage.","DellSmbios:\PowerManagement\CustomChargeStop"
"PowerManagement","WakeOnDock","Enabled","Disabled; Enabled","Enables or disables waking the system when a docking connection is made.","DellSmbios:\PowerManagement\WakeOnDock"
